#alpha,I/muA
4   ,   54
6   ,   60
8   ,   64
10  ,   66
12  ,   64
14  ,   62
16  ,   66
18  ,   64
20  ,   70
22  ,   70
24  ,   72
26  ,   72
28  ,   72
30  ,   74
32  ,   76
34  ,   78
36  ,   78
38  ,   82
40  ,   84
42  ,   86
44  ,   88
46  ,   90
48  ,   92
50  ,   92
52  ,   97
54  ,   96
56  ,   100
58  ,   100
60  ,   100
62  ,   100
64  ,   100
66  ,   110
68  ,   110
70  ,   115
72  ,   120
74  ,   130
76  ,   135
78  ,   140
80  ,   144
82  ,   147
84  ,   140
86  ,   70
