UB/V-Gelb;Iph/pA-Gelb
-19;-16
-18,5;-16
-18;-15
-17,5;-15
-17;-15
-16,5;-14
-16;-14
-15,5;-14
-15;-14
-14,5;-14
-14;-14
-13,5;-14
-13;-14
-12,5;-14
-12;-13
-11,5;-13
-11;-13
-10,5;-13
-10;-13
-9,5;-12
-9;-12
-8,5;-12
-8;-12
-7,5;-12
-7;-11
-6,5;-11
-6;-11
-5,5;-10
-5;-10
-4,5;-10
-4;-10
-3,5;-10
-3;-10
-2,5;-10
-2,4;-9
-2,3;-9
-2,2;-9
-2,1;-9
-2;-9
-1,9;-9
-1,8;-9
-1,7;-9
-1,6;-9
-1,5;-9
-1,4;-9
-1,3;-8
-1,2;-8
-1,1;-8
-1;-8
-0,9;-8
-0,8;-7
-0,7;-6
-0,65;-5
-0,6;-4
-0,55;-2
-0,5;0
-0,45;1
-0,4;8
-0,35;17
-0,3;32
-0,25;48
-0,2;62
-0,15;77
-0,1;88
0;100
0,1;120
0,2;140
0,3;170
0,4;190
0,5;210
0,6;230
0,7;250
0,8;260
0,9;280
1;300
1,1;310
1,2;320
1,3;330
1,4;340
1,5;360
1,6;380
1,7;380
1,8;390
1,9;410
2;440
2,1;440
2,2;460
2,3;470
2,4;480
2,5;500
2,6;500
2,7;520
2,8;540
2,9;560
3;570
3,1;580
3,2;600
3,3;620
3,4;620
3,5;640
3,6;650
3,7;660
3,8;680
3,9;670
4;680
4,1;680
4,2;680
4,3;680
4,4;680
4,5;700
4,6;700
4,7;700
4,8;700
4,9;700
5;710
5,2;720
5,4;720
5,6;720
5,8;760
6;780
6,2;800
6,4;800
6,6;820
6,8;820
7;840
7,2;860
7,4;880
7,6;880
7,8;900
8;920
8,2;920
8,4;920
8,6;920
8,8;920
9;920
9,5;940
10;960
10,5;980
11;1000
11,5;1000
12;1000
12,5;1000
13;1000
14;1000
15;1000
16;1000
17;1100
18;1100
19;1100
