Troepfchen;Thermowiderstand R/MOHM;Spannung U;t0;tauf1;tauf2;tauf3;tab1;tab2;tab3
1;2,27;244;35,73;2,59;6,49;5,71;3,46;2,47;4,05
2;2,25;244;47,47;9,26;8,65;4,07;6,97;6,08;7,04
3;2,25;244;56,78;2,94;4,85;2,16;2,29;3,14;1,37
4;2,24;244;40,59;2,85;2,89;8,19;2,37;2,7;6,61
5;2,22;200;44,13;3,25;3,55;1,52;3;2,9;2,77
6;2,22;200;46,78;5,04;5,57;2,4;3,29;5,51;3,35
7;2,22;200;56,72;4,34;2,36;1,97;1,84;1,45;4,53
8;2,22;200;49,38;4,66;2,63;2,84;3,92;3,47;2,5
9;2,22;295;44,94;1,4;1,91;1,07;0,8;1,07;1,45
10;2,22;295;47,84;1,58;3,74;3,08;3,41;2,83;2,7
11;2,22;295;8,44;2,51;1,98;5,5;1,26;1,19;2,11
12;2,22;295;44,3;1,26;1,64;2,12;1,13;1,98;2,04
13;2,22;225;30,6;6,87;2,82;3,35;3,22;3,22;3,99
14;2,2;225;38,49;2,95;2,5;3,48;2,58;2,57;2,9
15;2,2;225;74,6;0,99;1,6;1,65;1,6;5,71;1,65
16;2,17;225;61;1,38;1,12;2,95;1,12;1,31;1,14
