#Zählrohrwinkel 2*theta/°	Rate bei 35kVR(35kV)/Imp/s	
8.0	    ,  26.0
8.4	    ,  26.0
8.8	    ,  34.0
9.2	    ,  41.0
9.6	    ,  34.0
10.0	,  37.0
10.4	,  36.0
10.8	,  43.0
11.2	,  55.0
11.6	,  63.0
12.0	,  69.0
12.4	,  75.0
12.8	,  85.0
13.2	,  94.0
13.6	,  98.0
14.0	,  119.0
14.4	,  117.0
14.8	,  124.0
15.2	,  134.0
15.6	,  147.0
16.0	,  156.0
16.4	,  166.0
16.7	,  164.0
17.2	,  179.0
17.6	,  182.0
18.0	,  185.0
18.4	,  189.0
18.8	,  193.0
19.2	,  200.0
19.6	,  197.0
20.0	,  212.0
20.4	,  221.0
20.8	,  220.0
21.2	,  229.0
21.6	,  234.0
22.0	,  229.0
22.4	,  248.0
22.8	,  242.0
23.2	,  239.0
23.6	,  236.0
24.0	,  235.0
24.4	,  244.0
24.8	,  246.0
25.2	,  250.0
25.6	,  234.0
26.0	,  242.0
26.4	,  218.0
26.8	,  209.0
27.2	,  182.0
27.6	,  185.0
28.0	,  186.0
28.4	,  191.0
28.8	,  173.0
29.2	,  183.0
29.6	,  172.0
30.0	,  169.0
30.4	,  164.0
30.8	,  178.0
31.2	,  168.0
31.6	,  159.0
32.0	,  155.0
32.4	,  150.0
32.8	,  157.0
33.2	,  147.0
33.6	,  155.0
34.0	,  137.0
34.4	,  151.0
34.8	,  139.0
35.2	,  138.0
35.5	,  138.0
36.0	,  123.0
36.4	,  129.0
36.8	,  121.0
37.2	,  126.0
37.5	,  133.0
38.0	,  130.0
38.4	,  128.0
38.8	,  127.0
39.2	,  135.0
39.5	,  132.0
40.0	,  522.0
40.4	,  1290.0
40.8	,  913.0
41.2	,  198.0
41.5	,  168.0
42.0	,  152.0
42.4	,  137.0
42.8	,  146.0
43.2	,  144.0
43.6	,  148.0
44.0	,  185.0
44.4	,  623.0
44.8	,  4395.0
45.2	,  4123.0
45.5	,  1256.0
46.0	,  200.0
46.4	,  134.0
46.8	,  104.0
47.2	,  109.0
47.6	,  102.0
48.0	,  92.0
48.4	,  91.0
48.8	,  85.0
49.2	,  79.0
49.6	,  75.0
50.0	,  75.0
50.4	,  72.0
50.8	,  72.0
51.2	,  73.0
51.6	,  66.0
52.0	,  62.0
